22/02/2024
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
539175	Indra Industries Ltd.	64.77070
539176	Hawa Engineers ltd.	35.26400
539177	Authum Investment & Infrastruc	1698.45100
539189	Adhbhut Infrastructure Ltd.	110.00000
539190	Decillion Finance Ltd.	35.00000
539195	POCL ENTERPRISES LTD	55.75992
539196	Amba Enterprises Ltd.	126.60480
539197	Devhari Exports (India) Limite	742.83377
539198	Capfin India Limited	28.64700
539199	SG FINSERVE LIMITED	549.49000
539201	SATIA INDUSTRIES LIMITED	1000.00000
539206	GENOMIC VALLEY BIOTECH LIMITED	30.54500
539207	Manpasand Beverages Limited	1144.62396
539216	GARMENT MANTRA LIFESTYLE LIMIT	1003.84050
539217	Srestha Finvest Limited	5800.00000
539218	Saumya Consultants Ltd.	69.06908
539219	MAURIA UDYOG LIMITED	1332.00000
539220	Mishka Exim Limited	144.50000
539221	Sportking India Ltd.	127.07200
539222	GROWINGTON VENTURES INDIA LIMI	1605.53940
539223	Ambition Mica Limited	149.22000
539224	HCKK Ventures Limited	37.10000
539225	Jiya Eco-Products Limited	300.73262
539226	RUDRA GLOBAL INFRA PRODUCTS LI	1003.43828
539227	Loyal Equipments Limited	102.00000
539228	Gala Global Products Limited	545.88083
539229	Majestic Research Services and	100.26000
539230	Chemiesynth (Vapi) Limited	30.70000
539246	Jyotirgamya Enterprises Limite	23.00000
539251	Balkrishna Paper Mills Ltd	107.39844
539252	Shyam Century Ferrous Limited	2121.72990
539253	Surya India Limited	69.85832
539254	Adani Energy Solutions Limited	11154.92683
539255	STAR DELTA TRANSFORMERS LIMITE	30.00200
539265	Amrapali Fincap Limited	134.40000
539266	CONCRETE CREDIT LIMITED	75.22480
539267	SAMSRITA LABS LIMITED	148.08706
539268	Syngene International Limited	4020.15000
539273	PECOS Hotels And Pubs Limited	13.09875
539275	Mangalam Seeds Limited	109.80158
539276	Kaya Limited	130.64091
539277	Alstone Textiles (India) Limit	12748.00000
539278	Symbiox Investment & Trading C	312.87330
539287	Ortin Laboratories Limited	81.31392
539288	Avi Polymers Ltd.	40.90700
539289	Aurum PropTech Limited	290.34606
539290	Oswal Greentech Limited	2568.09159
539291	Vasudhagama Enterprises Limite	169.64494
539300	A.K. Spintex Ltd.	50.31750
539301	Arvind SmartSpaces Limited	453.11979
539302	Power Mech Projects Limited	158.08146
539304	Canopy Finance Limited	105.93001
539309	Rama Steel Tubes Limited	4933.55825
539310	THINKINK PICTUREZ LIMITED	296.28000
539314	Universal Autofoundry Limited	124.34500
539331	VETO SWITCHGEARS AND CABLES LI	191.14955
539332	Navkar Corporation Limited	1505.19181
539334	Shree Pushkar Chemicals & Fert	316.25880
539335	CHPL Industries Ltd.	30.46588
539336	Gujarat Gas Limited	6883.90125
539337	WAAREE TECHNOLOGIES LIMITED	107.68139
539346	Sadbhav Infrastructure Project	3522.25216
539352	P. B. Films Limited	144.17625
539353	SAL AUTOMOTIVE LIMITED	23.97713
539354	POLYSPIN EXPORTS LIMITED	100.00000
539359	Pritika Auto Industries Limite	915.22500
539363	Sri Krishna Constructions (Ind	104.72000
539378	Soni Medicare Limited	42.64900
539383	Mahaveer Infoway Limited	55.09000
539384	Krishna Capital And Securities	31.58400
539391	Acme Resources Limited	257.44000
539393	Kabra Commercial Limited	29.40000
539398	Vishal Bearings Limited	107.91000
539399	Bella Casa Fashion & Retail Li	114.75000
539400	MALLCOM (INDIA) LTD.	62.40000
539401	Patdiam Jewellery Limited	43.17000
539402	Naksh Precious Metals Limited	105.20480
539403	Arambhan Hospitality Services	50.00000
539404	SATIN CREDITCARE NETWORK LIMIT	1104.70965
539405	Decorous Investment and Tradin	34.50000
539406	Swagtam Trading & Services Lim	11.90500
539407	Generic Engineering Constructi	530.36219
539408	Kuber Udyog Limited	34.33000
539409	NEERAJ PAPER MARKETING LIMITED	110.00000
539410	MUZALI ARTS LIMITED	591.64667
539428	Tejnaksh Healthcare Limited	203.13600
539433	Indo-Global Enterprises Limite	63.70000
539434	Brilliant Portfolios Ltd.	31.01800
539435	Richfield Financial Services L	37.50100
539436	Coffee Day Enterprises Limited	2112.51719
539437	IDFC FIRST BANK LIMITED	70680.88940
539447	BEARDSELL LIMITED	394.37000
539448	InterGlobe Aviation Limited	3859.76719
539449	IGC Industries Limited	22.40000
539450	S H Kelkar and Company Limited	1384.20801
539455	ARYAVAN ENTERPRISE LIMITED	38.50400
539468	Typhoon Financial Services Lim	30.00600
539469	PANORAMA STUDIOS INTERNATIONAL	124.46750
539470	Shree Ganesh Biotech (India) L	3986.24000
539479	GTV Engineering Limited	31.23888
539486	Geetanjali Credit And Capital	44.19200
539488	Tirupati Fin-Lease Ltd.	30.04200
539492	Garbi Finvest Limited	117.30680
539494	Smart Finsec Limited	300.00000
539495	Rajkot Investment Trust Limite	10.00000
539506	Adcon Capital Services Limited	1866.60770
539515	Quint Digital Limited	470.92808
539518	Uday Jewellery Industries Limi	220.21900
539519	Mayukh Dealtrade Limited	218.50000
539520	Shailja Commercial Trade Frenz	32.49000
539521	Navigant Corporate Advisors Li	31.52750
539522	Grovy India Limited	33.34068
539523	Alkem Laboratories Limited	1195.65000
539524	Dr. Lal Pathlabs Limited	834.77852
539526	Suncare Traders Limited	2550.00000
539527	Creative Castings Limited	13.00000
539528	Aayush Food And Herbs Limited	32.45000
539533	ELITECON INTERNATIONAL LIMITED	12.10000
539542	LUX Industries Limited	300.71681
539543	Valley Magnesite Company Limit	10.50000
539544	Abhishek Infraventures Limited	50.49000
539545	Apoorva Leasing Finance & Inve	199.74900
539546	Beekay Niryat Limited	76.84237
539551	Narayana Hrudayalaya Limited	2043.60804
539552	F MEC INTERNATIONAL FINANCIAL	88.91768
539559	Deep Diamond India Limited	480.50000
539560	Abhijit Trading Co. Ltd.	14.66195
539561	REMEDIUM LIFECARE LIMITED	1008.00000
539562	AARNAV FASHIONS LIMITED	422.38628
539570	ACEWIN AGRITECK LIMITED	102.63200
539574	Sunshine Capital Ltd.	130.20900
539584	SHARANAM INFRAPROJECT AND TRAD	1200.02400
539593	Shivansh Finserv Limited	62.40000
539594	Mishtann Foods Limited	10000.00000
539596	Delta Industrial Resources Lim	53.93000
539598	CREDENT GLOBAL FINANCE LIMITED	102.92246
539599	Kotia Enterprises Limited	70.20500
539607	Blue Cloud Softech Solutions L	2181.40800
539620	KANORIA ENERGY AND INFRASTRUCT	852.91400
539621	BCL Enterprises Limited	1166.00000
539636	Precision Camshafts Limited	949.85835
539637	Blueblood Ventures Limited	30.01080
539658	TeamLease Services Limited	167.68900
539659	Vidli Restaurants Limited	108.25000
539660	BEST AGROLIFE LIMITED	236.44740
539661	ACE MEN ENGG WORKS LIMITED	30.98500
539662	BFL Asset Finvest Limited	102.03500
539669	RGF Capital Markets Limited	1500.24000
539673	Radhagobind Commercial Limited	144.00000
539678	Quick Heal Technologies Limite	534.67421
539679	Kapil Raj Finance Ltd.	94.89999
539680	Ganga Pharmaceuticals Limited	40.61500
539681	dynamic Archistructures Limite	50.10000
539682	LUCENT INDUSTRIES LIMITED	150.00000
539683	Shivkamal Impex Limited	10.05570
539686	K.P. Energy Limited	222.30000
539691	REAL GROWTH CORPORATION LIMITE	40.00000
539692	INTERACTIVE FINANCIAL SERVICES	30.13100
539697	HILIKS TECHNOLOGIES LIMITED	60.00000
539724	HYPERSOFT TECHNOLOGIES LIMITED	42.51700
539725	Gokul Agro Resources Ltd	1475.43358
539730	Fredun Pharmaceuticals Limited	46.65090
539742	Simbhaoli Sugars Ltd	412.79020
539760	Relicab Cable Manufacturing Li	100.94662
539761	Vantage Knowledge Academy Limi	103.82500
539762	MODERN ENGINEERING AND PROJECT	30.90000
539767	Mega Nirman & Industries Limit	33.47500
539770	Darjeeling Ropeway Company Lim	30.50000
539773	Advik Capital Limited	4281.53600
539785	Pudumjee Paper Products Limite	949.50000
539787	HealthCare Global Enterprises	1392.79287
539788	Khemani Distributors & Marketi	229.74000
539798	Umiya Tubes Limited	100.06667
539799	Bharat Wire Ropes Limited	680.02473
539800	CHD Chemicals Limited	101.09080
539807	INFIBEAM AVENUES LIMITED	27783.74886
539814	LE LAVOIR LIMITED	32.40000
539819	Mudra Financial Services Ltd.	50.10000
539833	Shivom Investment & Consultanc	699.51325
539834	Balgopal Commercial limited	165.10000
539835	Superior Finlease Limited	300.10000
539836	Ruby Cables Limited	62.51000
539837	RAGHAV PRODUCTIVITY ENHANCERS	229.52600
539839	Franklin Leasing and Finance L	157.82400
539841	Lancer Container Lines Limited	2285.46720
539843	NINtec Systems Limited	185.76000
539854	Halder Venture Limited	31.60700
539861	SKIL Infrastructure Limited	2165.71232
539864	Ghushine Fintrrade Ocean Limit	49.44900
539871	Thyrocare Technologies Limited	529.52676
539872	Bajaj Healthcare Limited	275.98400
539874	Ujjivan Financial Services Lim	1217.72389
539875	RSD Finance Limited	129.46480
539876	Crompton Greaves Consumer Elec	6402.36641
539883	Pilani Investment And Industri	110.72250
539884	Darshan Orna Limited	500.29335
539889	Parag Milk Foods Limited	1173.75841
539894	Madhav Infra Projects Limited	2695.81560
539895	Shalimar Agencies Limited	30.01000
539900	DALMIA INDUSTRIAL DEVELOPMENT	202.47500
539910	Kome-on Communication Limited	150.08107
539911	Svarnim Trade Udyog Limited	24.31500
539917	NAGARJUNA FERTILIZERS AND CHEM	5980.65003
539921	Shanti Educational Initiatives	1610.00000
539922	Rotographics (India) Limited	36.01300
539927	LIKHAMI CONSULTING LIMITED	99.50000
539938	Medico Intercontinental Limite	100.00000
539939	Yash Chemex Limited	102.43425
539940	Max Ventures and Industries Li	1471.34544
539946	Bazel International Limited	19.50500
539947	JINDAL LEASEFIN LIMITED	30.08900
539956	TAAL Enterprises Limited	31.16342
539957	Mahanagar Gas Limited	987.77778
539963	Zeal Aqua Limited	1260.66000
539978	Quess Corp Limited	1484.78320
539979	DIGJAM LIMITED	200.00000
539982	Advance Syntex Limited	110.97109
539983	SIDH AUTOMOBILES LIMITED	29.62300
539984	HINDUSTHAN URBAN INFRASTRUCTUR	14.42885
539985	Titaanium Ten Enterprise Limit	67.28507
539986	Commercial Syn Bags Limited	399.52200
539991	CONFIDENCE FUTURISTIC ENERGETE	250.20000
539992	LLOYDS ENGINEERING WORKS LIMIT	11423.62992
539997	Kwality Pharmaceuticals Limite	103.76198
540005	LTIMindtree Limited	2961.63369
540006	EAST WEST HOLDINGS LIMITED	1275.75000
540023	COLORCHIPS NEW MEDIA LIMITED	850.49500
540025	Advanced Enzyme Technologies L	1118.24075
540026	Ladam Affortable Housing Limit	183.04600
540027	PRABHAT TECHNOLOGIES (INDIA) L	107.06277
540047	Dilip Buildcon Limited	1462.14971
540048	S.P. Apparels Limited	250.92600
540061	Bigbloc Construction Limited	707.87875
540062	Golden Crest Education & Servi	52.45000
540063	ECS Biztech Limited	205.55047
540064	Future Retail Ltd.	5422.84079
540065	RBL Bank Limited	6045.97401
540066	AMS POLYMERS LIMITED	33.02500
540071	Camson Seeds Limited	299.99840
540072	Shiva Granito Export Limited	132.15050
540073	BLS International Services Ltd	4117.40908
540078	Mitsu Chem Plast Limited	120.72600
540079	Sprayking Agro Equipment Limit	105.67946
540080	Dhatre Udyog Limited	108.95450
540081	Sab Events & Governance Now Me	104.83711
540082	Riddhi Steel and Tube Limited	82.90252
540083	TV VISION LIMITED	387.44500
540084	Spicy Entertainment and Media	165.11250
540097	Visco Trade Associates Ltd	48.02800
540108	TIAAN CONSUMER LIMITED	102.69015
540115	L&T Technology Services Limite	1057.50642
540124	G N A Axles Limited	429.30800
540125	Radhika Jeweltech Limited	1180.00000
540132	Sabrimala Industries India Lim	87.14500
540133	ICICI Prudential Life Insuranc	14402.92561
540134	ISHAAN INFRASTRUCTURE AND SHEL	64.74600
540135	ARC Finance Limited	5049.50000
540136	HPL Electric & Power Limited	643.00486
540143	Sagarsoft (India) Limited	63.92238
540144	DRA CONSULTANTS LIMITED	109.70000
540145	Valiant Organics Limited	271.69488
540146	ADITYA CONSUMER MARKETING LIMI	146.33887
540147	Shashijit Infraprojects Limite	517.20000
540148	Bindal Exports Limited	46.00400
540150	Mewar Hi-Tech Engineering Limi	39.03600
540151	Diksat Transworld Limited	175.42875
540152	India Green Reality Limited	127.10000
540153	Endurance Technologies Limited	1406.62848
540159	Purple Entertainment Limited	86.45965
540168	Supra Pacific Financial Servic	205.11475
540173	PNB Housing Finance Limited	2596.94367
540174	Southern Infosys Limited	50.20000
540175	REGENCY FINCORP LIMITED	363.35720
540180	Varun Beverages Limited	12993.49963
540181	Salem Erode Investments Ltd.	114.65520
540189	Unipro Technologies Limited	60.84900
540190	Franklin Industries Limited	361.50000
540192	LKP Securities Limited	791.84245
540198	OSIAJEE TEXFAB LIMITED	54.00000
540199	Corporate Merchant Bankers Lim	33.00000
540203	Sheela Foam Limited	1086.97341
540204	EIKO LIFESCIENCES LIMITED	116.40364
540205	Aditya Vision Limited	120.28500
540210	Heads UP Ventures Limited	220.82609
540212	TCI Express Limited	383.35485
540221	Shashank Traders Limited	30.93800
540222	Laurus Labs Limited	5389.65858
540243	NEW LIGHT APPARELS LIMTED	21.96230
540252	VEERAM SECURITIES LIMITED	756.40852
540254	MARG TECHNO PROJECTS LIMITED	60.00000
540259	SHANGAR DECOR LIMITED	122.40400
540266	Globe Commercials Limited	60.02000
540267	Flora Corporation Limited	87.33875
540268	TruCap Finance Limited	1168.99371
540269	SUPER FINE KNITTERS LIMITED	123.93070
540270	Raideep Industries Limited	55.08000
540293	Pricol Limited	1218.81498
540310	Classic Filaments Limited	61.13350
540311	JITF INFRALOGISTICS LIMITED	257.03706
540318	Sueryaa Knitwear Limited	25.97800
540332	Tanvi Foods (India) Limited	104.10775
540358	RMC SWITCHGEARS LIMITED	103.08300
540359	Parmax Pharma Limited	37.41300
540360	LEADING LEASING FINANCE AND IN	1067.00000
540361	DANUBE INDUSTRIES LIMITED	600.00000
540366	Music Broadcast Limited	3456.85625
540376	Avenue Supermarts Limited	6507.33068
540377	IFL ENTERPRISES LIMITED	2501.36311
540385	KD LEISURES LIMITED	32.40000
540386	Ontic Finserve Limited	900.03000
540393	Sarthak Metals Limited	136.89750
540394	Jash Dealmark Limited	99.70002
540395	Chemcrux Enterprises Limited	148.08840
540396	Manomay Tex India Limited	180.48735
540401	Maximus International Limited	1257.20000
540402	Manas Properties Limited	41.60000
540403	CL Educate Limited	540.52393
540404	PRIME FRESH LIMITED	125.22948
540405	Oceanic Foods Limited	112.50000
540416	Octaware Technologies Limited	35.90570
540425	Shankara Building Products Lim	228.49326
540426	Relstruct Buildcon Limited	146.71000
540455	Escorp Asset Management Limite	111.16651
540467	PARMESHWARI SILK MILLS LIMITED	30.01100
540468	KMS Medisurgi Limited	33.00000
540481	Classic Leasing & Finance Ltd.	30.00200
540492	STARLINEPS ENTERPRISES LIMITED	432.30000
540497	S Chand And Company Limited	352.17336
540515	KANUNGO FINANCIERS LIMITED	46.34000
540519	Meera Industries Limited	106.78796
540526	IRB InvIT Fund	5805.00000
540530	Housing &Urban Development Cor	20019.00000
540544	PSP Projects Limited	360.00000
540545	Bhakti Gems And Jewellery Limi	150.39518
540550	Yug Decor Limited	71.92846
540565	India Grid Trust	7836.73314
540570	VARIMAN GLOBAL ENTERPRISES LIM	1945.81000
540575	Star Cement Limited	4041.80417
540590	Riddhi Corporate Services Limi	118.67000
540595	Tejas Networks Limited	1702.60075
540596	Eris Lifesciences Limited	1360.28280
540597	Containerway International Lim	65.37200
540602	GTPL Hathway Limited	1124.63038
540611	AU Small Finance Bank Limited	6688.80507
540613	Gautam Exim Limited	30.81000
540614	G G Engineering Limited	8794.98800
540615	7NR Retail Limited	280.06800
540642	Salasar Techno Engineering Lim	15785.26400
540647	Ganges Securities Ltd.	100.03687
540648	Palash Securities Limited	100.03102
540649	AVADH SUGAR & ENERGY LIMITED	200.18420
540650	Magadh Sugar & Energy Limited	140.91630
540651	Jigar Cables Limited	70.32000
540652	Captain Technocast Limited	102.10050
540653	Sintex Plastics Technology Ltd	6361.44446
540654	GlobalSpace Technologies Limit	343.69803
540673	SIS LIMITED	1441.00390
540678	Cochin Shipyard Limited	2630.80780
540679	SMS Lifesciences India Ltd	30.23287
540680	KIOCL Limited	6077.51096
540681	CHOTHANI FOODS LIMITED	51.60000
540686	Smruthi Organics Limited	114.46290
540691	Aditya Birla Capital Ltd	25999.61752
540692	Apex Frozen Foods Limited	312.50000
540693	Shish Industries Limited	350.07149
540694	ANG Lifesciences India Limited	130.58287
540695	Dhruv Wellness Limited	105.39850
540696	KCD INDUSTRIES INDIA LIMITED	252.00744
540699	Dixon Technologies (India) Lim	598.13195
540700	Bharat Road Network Limited	839.50000
540701	Dishman Carbogen Amcis Limited	1567.83095
540702	Lasa Supergenerics Limited	501.01239
540703	PRO CLB GLOBAL LIMITED	51.03000
540704	Matrimony.com Limited	222.60461
540709	Reliance Home Finance Limited	4845.65613
540710	Capacit'e Infraprojects Limite	846.04043
540715	Sagar Diamonds Limited	126.43780
540716	ICICI Lombard General Insuranc	4923.44181
540717	Polo Queen Industrial and Fint	3357.50000
540718	AKM CREATIONS LIMITED	86.12175
540719	SBI Life Insurance Company Lim	10012.40203
540724	Prataap Snacks Limited	238.59592
540725	Share India Securities Limited	350.65585
540726	Trident Texofab Limited	100.70100
540727	Poojawestern Metaliks Limited	101.42000
540728	Sayaji Industries Limited	63.20000
540729	Vanta Bioscience Limited	63.12000
540730	Mehai Technology  Limited	107.10000
540735	IRIS Business Services Limited	193.61162
540736	Siddharth Education Services L	115.99500
540737	Shree Ganesh Remedies Limited	120.06727
540738	Shreeji Translogistics Limited	698.83500
540743	Godrej Agrovet Limited	1922.10862
540744	MIDEAST INTEGRATED STEELS LIMI	1378.75000
540749	MAS Financial Services Limited	546.62043
540750	Indian Energy Exchange Limited	8916.92735
540755	General Insurance Corporation	17544.00000
540756	Kaarya Facilities and Services	93.50258
540757	SHEETAL COOL PRODUCTS LIMITED	105.00000
540762	Tube Investments of India Ltd	1933.83995
540767	NIPPON LIFE INDIA ASSET MANAGE	6289.68862
540768	Mahindra Logistics Limited	720.36151
540769	The New India Assurance Compan	16480.00000
540774	IFGL Refractories Limited	360.39312
540775	Khadim India Limited	179.69614
540776	5paisa Capital Limited	311.81973
540777	HDFC LIFE INSURANCE COMPANY LI	21508.41262
540782	Sanghvi Brands Limited	104.15880
540786	SHARIKA ENTERPRISES LIMITED	433.00000
540788	Aspira Pathlab & Diagnostics L	102.93000
540789	Diligent Media Corporation Lim	1177.08018
540790	Eastern Gases Limited	150.00000
540795	Dynamic Cables Limited	220.14000
540796	Ratnabhumi Developers Limited	137.00000
540797	Shalby Limited	1080.09770
540798	Future Supply Chain Solutions	438.83598
540809	MRC AGROTECH LIMITED	104.20900
540811	Diggi Multitrade Limited	96.77500
540812	Kids Medical Systems Limited	70.91099
540821	SADHNA BROADCAST LTD	1002.65430
540823	Vitesse Agro Limited	45.18456
540824	Astron Paper & Board Mill Limi	465.00000
540829	Chandrima Mercantiles limited	22.11300
540843	Rithwik Facility Management Se	30.60000
540850	Jhandewalas Foods Limited	102.60358
540874	7SEAS ENTERTAINMENT LIMITED	186.60129
540879	Apollo Micro Systems Limited	2823.58860
540900	Newgen Software Technologies L	1401.38802
540901	Praxis Home Retail Limited	1252.18184
540902	Amber Enterprises India Limite	336.93731
540903	CRP Risk Management Limited	174.84900
540904	TIRUPATI FOAM LIMITED	44.07000
540914	SRU Steels Limited	119.87850
540923	Ashoka Metcast Limited	249.96000
540935	Galaxy Surfactants Limited	354.54752
540936	Gautam Gems Limited	394.82542
540937	MEDICO REMEDIES LIMITED	829.84000
540938	Gujarat Hy-Spin Limited	167.50000
540952	LORENZINI APPARELS LIMITED	101.38916
540953	Kenvi Jewels Limited	1263.80174
540954	The Indian Wood Products Co. L	639.72720
540955	Tasty Dairy Specialities Limit	204.30000
540956	Bhatia Communications & Retail	1251.52000
540961	Shiva Mills Limited	86.41808
540975	Aster DM Healthcare Limited	4995.13060
540980	The Yamuna Syndicate Ltd	3.07365
541005	KANCO TEA & INDUSTRIES LIMITED	51.22827
541006	Angel Fibers Limited	250.00000
541019	H.G. Infra Engineering Limited	651.71111
541083	Inflame Appliances Limited	73.41000
541096	Bharat Parenterals Limited	58.19666
541112	Shreeshay Engineers Limited	132.03396
541133	APEX CAPITAL AND FINANCE LIMIT	59.19978
541143	Bharat Dynamics Limited	1832.81250
541144	Active Clothing Co  Limited	155.12215
541151	Ridings Consulting Engineers I	124.40000
541152	GOYAL ALUMINIUMS LIMITED	1427.32780
541153	Bandhan Bank Limited	16109.18159
541154	Hindustan Aeronautics Limited	6687.75000
541161	KBC GLOBAL LIMITED	9622.04136
541163	Sandhar Technologies Limited	601.90708
541167	YASHO INDUSTRIES LIMITED	113.99200
541178	Benara Bearings and Pistons Li	177.07288
541179	ICICI Securities Limited	3232.84025
541195	Mishra Dhatu Nigam Limited	1873.40000
541196	Lex Nimble Solutions Limited	41.90000
541206	Orissa Bengal Carrier Limited	210.82790
541228	Taylormade Renewables Limited	110.92851
541233	Lemon Tree Hotels Limited	7922.46464
541269	Chemfab Alkalis Ltd	142.26602
541276	HARDWYN INDIA LIMITED	3488.81467
541299	DR LALCHANDANI LABS LIMITED	43.33068
541300	IndInfravit Trust	10424.11177
541301	Orient Electric Limited	2133.65899
541302	Dhruv Consultancy Services Lim	151.96000
541303	Akshar Spintex Limited	2499.90000
541304	Indo US Bio-Tech Limited	200.52000
541336	IndoStar Capital Finance Limit	1240.10329
541337	Milestone Furniture Limited	92.97000
541338	U. H. ZAVERI LIMITED	101.94000
541347	Parvati Sweetners and Power Lt	1491.43817
541352	Megastar Foods Limited	100.03700
541353	Innovators Facade Systems Limi	188.67808
541358	UNIFINZ CAPITAL INDIA LIMITED	31.40000
541400	ZIM Laboratories Limited	487.25814
541401	Arihant Institute Limited	94.05006
541402	Affordable Robotic & Automatio	101.79600
541403	Dollar Industries Limited	567.16120
541418	NAKODA GROUP OF INDUSTRIES LIM	127.25142
541444	Palm Jewels Limited	100.40960
541445	Waa Solar Limited	132.66764
541450	Adani Green Energy Limited	15840.32478
541503	Unick Fix-A- Form and Printers	54.85000
541540	SOLARA ACTIVE PHARMA SCIENCES	359.96267
541545	TALWALKARS HEALTHCLUBS LIMITED	310.04856
541546	GAYATRI HIGHWAYS LTD	2396.51900
541556	RITES Limited	2403.01887
541557	Fine Organic Industries Limite	306.59976
541578	Varroc Engineering Limited	1527.86400
541601	Rajnish Wellness Limited	7684.74660
541627	HI-TECH WINDING SYSTEMS LIMITE	48.57900
541633	Sophia Traexpo Limited	51.00000
541634	Raw Edge Industrial Solutions	100.58400
541700	TCNS Clothing Co. Limited	632.73418
541701	Supershakti Metaliks Limited	115.25278
541702	Ashnisha Industries Limited	1010.00000
541703	RACONTEUR GLOBAL RESOURCES LIM	30.07684
541729	HDFC Asset Management Company	2134.84000
541735	Vivanta Industries Limited	1250.00000
541741	Tinna Trade Limited	85.64750
541770	CreditAccess Grameen Ltd.	1592.04305
541771	AMIN TANNERY LIMITED	1079.73360
541778	Deep Polymers Limited	230.32800
541799	Sungold Media and Entertainmen	110.00000
541865	Add-Shop E-Retail Limited	283.12956
541890	Space Incubatrics Technologies	346.09176
541929	Synergy Green Industries Limit	141.30000
541945	Ranjeet Mechatronics Limited	65.99980
541956	IRCON International Ltd	9405.15740
541967	SKY GOLD LIMITED	130.76680
541973	Mac Hotels Limited	30.00000
541974	Manorama Industries Limited	119.19810
541983	Innovative Ideals and Services	113.80169
541988	AAVAS Financiers Limited	791.36395
541999	GENERA AGRI CORP LTD	89.96100
542002	DEVOTED CONSTRUCTION LIMITED	30.01080
542011	Garden Reach Shipbuilders & En	1145.52000
542012	A-1 Acid Limited	115.00000
542013	Dolfin Rubbers Limited	100.29892
542019	Shubham Polyspin Limited	121.22000
542020	AKI India Limited	669.30495
542025	Sun Retail Limited	1551.68000
542034	S. M. Gold Limited	100.37512
542046	VIVID MERCANTILE LIMITED	100.25640
542057	BCPL Railway Infrastructure Li	167.23638
542066	ADANI TOTAL GAS LIMITED	10998.10083
542117	Netripples Software Limited	68.16900
542123	The Phosphate Company Limited	36.07480
542141	Techno Electric & Engineering	1076.19019
542145	Roni Households Limited	52.02946
542146	Shree Krishna Infrastructure L	105.00000
542155	Diksha Greens Limited	98.67290
542176	Aryan Share & Stock Brokers Lt	30.00000
542206	NIVAKA FASHIONS LIMITED	1026.90000
542216	DALMIA BHARAT LIMITED	1875.47629
542231	Nila Spaces Ltd	3938.89200
542232	Shankar Lal Rampal Dye-Chem Li	639.66780
542233	Trejhara Solutions Limited	145.16298
542248	Deccan Health Care Limited	203.76180
542285	Axita Cotton Limited	2608.78008
542323	KPI Green Energy Limited	401.88405
542332	Hi-Klass Trading and Investmen	62.12400
542333	RPSG VENTURES LIMITED	295.11409
542337	Spencer's Retail Limited	901.32009
542351	Gloster Ltd	109.43260
542367	Xelpmoc Design and Tech Limite	146.28413
542376	SPA Capital Services Limited	30.74225
542377	Aar Shyam India Investment Com	30.00000
542383	Ritco Logistics Limited	244.76618
542399	Chalet Hotels Limited	2054.74008
542437	Anmol India Limited	569.14150
542446	Jonjua Overseas Limited	79.25339
542459	Kranti Industries Limited	114.10400
542460	The Anup Engineering Ltd	99.14150
542477	Gleam Fabmat Limited	100.18000
542484	Arvind Fashions Limited	1329.36663
542503	Mahip Industries Limited	192.39984
542524	AMBASSADOR INTRA HOLDINGS LIMI	20.90834
542543	India Infrastructure Trust	6640.00000
542544	Jyot International Marketing L	31.21900
542579	Ashapuri Gold Ornament Limited	2499.86000
542580	Aartech Solonics Limited	105.90125
542592	Humming Bird Education Limited	6.13000
542597	MSTC Limited	704.00000
542599	Roopshri Resorts Limited	58.36020
542602	Embassy Office Parks REIT	9478.93743
542627	Chandni Machines Limited	32.27433
542628	Northern Spirits Limited	160.51200
542641	Cox & Kings Financial Service	728.54454
542649	Rail Vikas Nigam Limited	20850.20100
542650	Metropolis Healthcare Limited	512.26861
542651	KPIT Technologies Ltd	2741.43808
542652	Polycab India Limited	1502.09970
542654	V R FILMS & STUDIOS LIMITED	109.76000
542655	VIKAS LIFECARE LIMITED	16151.68560
542665	Neogen Chemicals Limited	263.81674
542666	G. K. P. Printing & Packaging	219.98832
542667	White Organic Retail Limited	327.24000
542668	EVANS ELECTRIC LIMITED	27.44000
542669	BMW INDUSTRIES LIMITED	2250.86460
542670	Artemis Electricals and Projec	2510.36900
542677	Mahesh Developers Limited	41.52000
542678	Cian Healthcare Limited	249.95764
542679	Dhanashree Electronics Limited	141.90000
542682	Harish Textile Engineers Limit	33.36000
542684	Prakash Pipes Limited	239.18354
542685	Digicontent Limited	581.87078
542694	Parshva Enterprises Limited	100.49749
542721	Anand Rayons Limited	149.84721
542724	Earum Pharmaceuticals Limited	2471.11618
542725	SBC EXPORTS LIMITED	3174.60000
542726	IndiaMART InterMESH Limited	599.79148
542727	City Pulse Multiplex Limited	33.18033
542728	SK International Export Limite	73.31954
542729	DCM NOUVELLE LIMITED	186.77749
542752	Affle (India) Limited	1401.71060
542753	SEACOAST SHIPPING SERVICES LIM	5386.80000
542759	Spandana Sphoorty Financial Li	711.77169
542760	STERLING AND WILSON RENEWABLE	2330.33333
542765	Transpact Enterprises Limited	3.86730
542770	Alphalogic Techsys Limited	468.54885
542771	Novateor Research Laboratories	48.34170
542772	360 ONE WAM LIMITED	3585.46224
542773	IIFL Securities Limited	3077.04135
542774	MUFIN GREEN FINANCE LIMITED	1509.95172
542801	Misquita Engineering Limited	26.94000
542802	Galactico Corporate Services L	1490.11330
542803	Vaxfab Enterprises Limited	84.00000
542812	Gujarat Fluorochemicals Limite	1098.50000
542830	Indian Railway Catering & Tour	8000.00000
